CurrentlyListed,Name,RFMOName,IMO,NNR,VesselType,GearType,Flag,IRCS,MMSI,GT,DWT,Length,YearOfBuild,Depth,BuiltIn,OwnerName,OperatorName,VesselStatus,IOTC,Reason,ICCAT,Reason,IATTC,Reason,WCPFC,Reason,CCAMLR,Reason,SEAFO,Reason,INTERPOL,Reason,NEAFC,Reason,NAFO,Reason,SPRFMO,Reason,CCSBT,Reason,GFCM,Reason,NPFC,Reason,SIOFA,Reason
True,BHASKARA NO. 9,Bhaskara No. 9,,,,,Unknown,,,,,,,,,,,,,,2011-08-30 - ,,2005-12-26 - ,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
False,BHINEKA,Bhineka,,,,,Indonesia,YGJY,,490.000,,43.700,,3.600,,,,,,,2011-08-30 - 2012-06-21,ref E11-5762,2005-12-26 - 2012-06-21,,,,,,,,,,,,,,,,,,,,,,,
True,"BIGEYE, BIG EYE",Bigeye,,SL/ITC/181104,,,Sierra Leone,FN003883,,,,,,,,MARIA FISHERY CO.LTD,,,,,2006-11-26 - ,"vessels had no VMS, suspected of having no tuna licence and of possible at-sea transhipments",,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
False,BINH MINH 02,Pavlovsk,8326319,VNSG-2101-KS,Research Survey Vessel,,Vietnam,3WYN,574756000,2319.000,721,62.260,198312,9.220,"VEB Volkswerft Stralsund - Stralsund Yard/hull No.: 628, German Democratic Republic",PetroVietnam Technical Services Corp (PTSC) (Cong Ty Dich Vu Ky Thuat Dau Khi),PTSC Geos & Subsea Services Co Ltd,Laid-Up,,,,,,,,,,,2007-10-31 - 2008-04-27,,,,2005-11-18 - 2008-03-27,,2007-02-18 - 2008-04-27,,,,,,,,,,,
False,BLUE OCEAN MARINE,Blue Ocean Marine,7826271,019921383,Fishing Vessel,,Belize,V3AF3,,2685.000,1741,84.990,198012,9.200,"Stocznia Polnocna SA (Northern Shipyard), Poland",Blue Ocean Marine Line SA,TS Marine Pte Ltd,Broken Up,2005-06-03 - 2007-05-18,"Contravention of IOTC Resolution 02/04, 02/05, 03/05",,,,,,,,,,,,,,,,,,,,,,,,,,
True,BRAVO,Bravo,,,,,Palau,T8AN3,,,,,,,,,,,,,2004-11-21 - ,"Sighting of tuna longliner in the Convention area, not on ICCAT Record of Vessels",,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
True,CAMELOT,Camelot,,,,,Unknown,,,,,,,,,,,,,,2011-08-30 - ,,2005-12-26 - ,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
True,CAPE FLOWER,,7330399,06142101027,Fishing Vessel,,Bolivia,CPB3000,720877000,873.000,,52.000,197311,5.620,Canada,Express Financial Ventures Group Inc,Express Financial Ventures Group Inc,In Service/commission,,,,,,,,,,,2017 - ,Fishing inside FAO Area 47/48,,,2018 - ,Following SEAFO,,,,,,,,,,,,
False,CARIBBEAN STAR NO. 31,Caribbean Star No. 31,,,,,Colombia,,,88.000,,31.390,1980,3.550,Rodriguez Boat Builders Inc.,Crystal Ocean Inc.,,,,,,,2010-10-13 - 2011-07-01,Not authorized to fish,,,,,,,,,,,,,,,,,,,,,,
False,CARIBE,Caribe,7351161,,Fishing Vessel,,Unknown,,,1580.000,1626,87.000,197501,8.410,"Soc. Esercizio Cant. S.p.A. - Viareggio Yard/hull No.: 615, Italy",Rptd Sold Undisclosed Interest,Rptd Sold Undisclosed Interest,In Service/commission,,,,,,,,,,,2007-10-31 - 2007-12-21,,,,2005-11-18 - 2007-11-16,,2007-02-18 - 2007-12-21,,,,,,,,,,,
True,CARLOS,Daniaa,7234014,002/DNMM/2003,Fishing Vessel,Longline,Guinea,3X07QMC,,312.000,,49.740,197209,3.660,"KK Kanasashi Zosen - Shimizu Yard/hull No.: 1082, Japan","Alpha Camara, Pesqueira Sao Tome Lda, SIPEM GUINEE SARL-PESQ.SAO TOME (ALPHA CAMARA)",Pesqueira Sao Tome Lda,In Service/commission,,,2008-11-24 - ,Bluefin tuna caught and exported without quota,,,,,,,,,,,,,,,,,,,2014-05 - ,,,,,
